LOCATION CODE,COUNTY,AREA NAME,REGION,SCHOOL YEARS,NO. OVERWEIGHT,PCT OVERWEIGHT,NO. OBESE,PCT OBESE,NO. OVERWEIGHT OR OBESE,PCT OVERWEIGHT OR OBESE,GRADE LEVEL,AREA TYPE,STREET ADDRESS,CITY,STATE,ZIP CODE,LATITUDE,LONGITUDE,Location 1
6,CHAUTAUQUA,CHAUTAUQUA,WESTERN NEW YORK,2016-2018,1105,16.4,1400,20.7,2505,37.1,DISTRICT TOTAL,COUNTY,,,,,,,
6,CHAUTAUQUA,CHAUTAUQUA,WESTERN NEW YORK,2016-2018,691,16.4,804,19.1,1495,35.5,ELEMENTARY,COUNTY,,,,,,,
6,CHAUTAUQUA,CHAUTAUQUA,WESTERN NEW YORK,2016-2018,400,16.3,590,24,990,40.3,MIDDLE/HIGH,COUNTY,,,,,,,
7,CHEMUNG,CHEMUNG,FINGER LAKES,2010-2012,553,18.2,524,17.2,1077,35.4,DISTRICT TOTAL,COUNTY,,,,,,,
7,CHEMUNG,CHEMUNG,FINGER LAKES,2010-2012,312,18.2,320,18.7,632,36.9,ELEMENTARY,COUNTY,,,,,,,
7,CHEMUNG,CHEMUNG,FINGER LAKES,2010-2012,241,17,204,14.4,445,31.4,MIDDLE/HIGH,COUNTY,,,,,,,
7,CHEMUNG,CHEMUNG,FINGER LAKES,2012-2014,514,17,557,18.4,1071,35.5,DISTRICT TOTAL,COUNTY,,,,,,,
7,CHEMUNG,CHEMUNG,FINGER LAKES,2012-2014,345,16.3,398,18.8,743,35.2,ELEMENTARY,COUNTY,,,,,,,
7,CHEMUNG,CHEMUNG,FINGER LAKES,2012-2014,169,18.8,158,17.6,327,36.5,MIDDLE/HIGH,COUNTY,,,,,,,
7,CHEMUNG,CHEMUNG,FINGER LAKES,2014-2016,514,17.3,633,21.3,1147,38.6,DISTRICT TOTAL,COUNTY,,,,,,,
7,CHEMUNG,CHEMUNG,FINGER LAKES,2014-2016,314,18.5,340,20.1,654,38.6,ELEMENTARY,COUNTY,,,,,,,
7,CHEMUNG,CHEMUNG,FINGER LAKES,2014-2016,194,15.2,293,22.9,487,38.2,MIDDLE/HIGH,COUNTY,,,,,,,
7,CHEMUNG,CHEMUNG,FINGER LAKES,2016-2018,625,18.3,828,24.3,1453,42.6,DISTRICT TOTAL,COUNTY,,,,,,,
7,CHEMUNG,CHEMUNG,FINGER LAKES,2016-2018,393,18.9,446,21.5,839,40.4,ELEMENTARY,COUNTY,,,,,,,
7,CHEMUNG,CHEMUNG,FINGER LAKES,2016-2018,232,17.5,375,28.3,607,45.8,MIDDLE/HIGH,COUNTY,,,,,,,
8,CHENANGO,CHENANGO,NEW YORK - PENN,2010-2012,481,18,581,21.8,1062,39.8,DISTRICT TOTAL,COUNTY,,,,,,,
8,CHENANGO,CHENANGO,NEW YORK - PENN,2010-2012,267,17.1,324,20.8,591,37.9,ELEMENTARY,COUNTY,,,,,,,
8,CHENANGO,CHENANGO,NEW YORK - PENN,2010-2012,196,19,219,21.2,415,40.3,MIDDLE/HIGH,COUNTY,,,,,,,
8,CHENANGO,CHENANGO,NEW YORK - PENN,2012-2014,433,18,481,20,914,38.1,DISTRICT TOTAL,COUNTY,,,,,,,
8,CHENANGO,CHENANGO,NEW YORK - PENN,2012-2014,257,18.3,259,18.4,516,36.8,ELEMENTARY,COUNTY,,,,,,,
8,CHENANGO,CHENANGO,NEW YORK - PENN,2012-2014,180,18,241,24.1,421,42.1,MIDDLE/HIGH,COUNTY,,,,,,,
8,CHENANGO,CHENANGO,NEW YORK - PENN,2014-2016,429,17.6,518,21.2,947,38.9,DISTRICT TOTAL,COUNTY,,,,,,,
8,CHENANGO,CHENANGO,NEW YORK - PENN,2014-2016,244,16.2,301,20,545,36.2,ELEMENTARY,COUNTY,,,,,,,
8,CHENANGO,CHENANGO,NEW YORK - PENN,2014-2016,177,19.8,223,25,400,44.8,MIDDLE/HIGH,COUNTY,,,,,,,
8,CHENANGO,CHENANGO,NEW YORK - PENN,2016-2018,369,16,536,23.2,905,39.2,DISTRICT TOTAL,COUNTY,,,,,,,
8,CHENANGO,CHENANGO,NEW YORK - PENN,2016-2018,219,15.9,278,20.2,497,36.1,ELEMENTARY,COUNTY,,,,,,,
8,CHENANGO,CHENANGO,NEW YORK - PENN,2016-2018,148,16.1,234,25.5,382,41.6,MIDDLE/HIGH,COUNTY,,,,,,,
9,CLINTON,CLINTON,NORTHEASTERN NEW YORK,2010-2012,524,18.5,584,20.6,1108,39,DISTRICT TOTAL,COUNTY,,,,,,,
9,CLINTON,CLINTON,NORTHEASTERN NEW YORK,2010-2012,288,18.1,304,19.1,592,37.3,ELEMENTARY,COUNTY,,,,,,,
9,CLINTON,CLINTON,NORTHEASTERN NEW YORK,2010-2012,237,19.2,275,22.3,512,41.5,MIDDLE/HIGH,COUNTY,,,,,,,
9,CLINTON,CLINTON,NORTHEASTERN NEW YORK,2012-2014,564,18,663,21.2,1227,39.3,DISTRICT TOTAL,COUNTY,,,,,,,
9,CLINTON,CLINTON,NORTHEASTERN NEW YORK,2012-2014,340,17.6,383,19.9,723,37.5,ELEMENTARY,COUNTY,,,,,,,
9,CLINTON,CLINTON,NORTHEASTERN NEW YORK,2012-2014,220,18.7,269,22.9,489,41.6,MIDDLE/HIGH,COUNTY,,,,,,,
9,CLINTON,CLINTON,NORTHEASTERN NEW YORK,2014-2016,571,16.4,726,20.9,1297,37.3,DISTRICT TOTAL,COUNTY,,,,,,,
9,CLINTON,CLINTON,NORTHEASTERN NEW YORK,2014-2016,339,15.5,424,19.4,763,35,ELEMENTARY,COUNTY,,,,,,,
9,CLINTON,CLINTON,NORTHEASTERN NEW YORK,2014-2016,225,17.5,323,25.1,548,42.6,MIDDLE/HIGH,COUNTY,,,,,,,
9,CLINTON,CLINTON,NORTHEASTERN NEW YORK,2016-2018,721,18.7,798,20.7,1519,39.5,DISTRICT TOTAL,COUNTY,,,,,,,
9,CLINTON,CLINTON,NORTHEASTERN NEW YORK,2016-2018,444,18.7,424,17.9,868,36.5,ELEMENTARY,COUNTY,,,,,,,
9,CLINTON,CLINTON,NORTHEASTERN NEW YORK,2016-2018,275,19.2,365,25.5,640,44.8,MIDDLE/HIGH,COUNTY,,,,,,,
10,COLUMBIA,COLUMBIA,NORTHEASTERN NEW YORK,2010-2012,431,17.9,460,19.1,891,37.1,DISTRICT TOTAL,COUNTY,,,,,,,
10,COLUMBIA,COLUMBIA,NORTHEASTERN NEW YORK,2010-2012,218,15.9,258,18.9,476,34.8,ELEMENTARY,COUNTY,,,,,,,
10,COLUMBIA,COLUMBIA,NORTHEASTERN NEW YORK,2010-2012,212,20.9,189,18.7,401,39.6,MIDDLE/HIGH,COUNTY,,,,,,,
10,COLUMBIA,COLUMBIA,NORTHEASTERN NEW YORK,2012-2014,393,17.8,414,18.7,807,36.5,DISTRICT TOTAL,COUNTY,,,,,,,
10,COLUMBIA,COLUMBIA,NORTHEASTERN NEW YORK,2012-2014,203,15.8,228,17.8,431,33.6,ELEMENTARY,COUNTY,,,,,,,
10,COLUMBIA,COLUMBIA,NORTHEASTERN NEW YORK,2012-2014,167,18,186,20.1,353,38.1,MIDDLE/HIGH,COUNTY,,,,,,,
10,COLUMBIA,COLUMBIA,NORTHEASTERN NEW YORK,2014-2016,380,16.7,426,18.7,806,35.5,DISTRICT TOTAL,COUNTY,,,,,,,
10,COLUMBIA,COLUMBIA,NORTHEASTERN NEW YORK,2014-2016,225,15.3,258,17.6,483,32.9,ELEMENTARY,COUNTY,,,,,,,
10,COLUMBIA,COLUMBIA,NORTHEASTERN NEW YORK,2014-2016,150,19.4,153,19.8,303,39.3,MIDDLE/HIGH,COUNTY,,,,,,,
